analysis_id,analysis_time,test_name,analysis_result,sample_id,name,role
1,"2020-03-10 18:00:00",Ortophosphate,2.5,1,Frank,"lab technichian"
2,"2020-03-10 18:00:00","Total suspended solids",10,1,Frank,"lab technichian"
3,"2020-03-10 18:00:00",nitrogen,45,1,Frank,"lab technichian"
4,"2020-03-10 18:00:00",PH,6.2,1,Frank,"lab technichian"
5,"2020-03-11 17:00:00",Ortophosphate,3,2,Frank,"lab technichian"
6,"2020-03-11 17:00:00","Total suspended solids",11,2,Frank,"lab technichian"
7,"2020-03-11 17:00:00",nitrogen,50,2,Frank,"lab technichian"
8,"2020-03-12 17:00:00",Ortophosphate,2.6,3,Frank,"lab technichian"
9,"2020-03-12 17:00:00","Total suspended solids",102,3,Frank,"lab technichian"
10,"2020-03-12 17:00:00",nitrogen,64,3,Frank,"lab technichian"
11,"2020-03-13 19:00:00",Ortophosphate,2.1,4,Frank,"lab technichian"
12,"2020-03-13 19:00:00","Total suspended solids",13.2,4,Frank,"lab technichian"
13,"2020-03-13 19:00:00",nitrogen,133,4,Frank,"lab technichian"
14,"2020-03-13 19:00:00",PH,6.2,4,Frank,"lab technichian"
15,"2020-03-14 17:00:00",Ortophosphate,1.1,5,Frank,"lab technichian"
16,"2020-03-14 17:00:00","Total suspended solids",8.2,5,Frank,"lab technichian"
17,"2020-03-14 17:00:00",nitrogen,88,5,Frank,"lab technichian"
